Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	RSI_Buy	RSI_Sell	Chaikin	%K	%D	OBV	signal	HOBV	HOBV_signal	MFI	ADX	plus	minus	
2023/12/29	04:34:16	17117.25	17120.25	17116	17120.25	17119.75	17120	 	17117.56	17123.5	0	1	-55.5	23.74	31.41	213897	214012.39	248103	248710.44	28.3	39.65	16.14	27.77	
2023/12/29	04:35:02	17120	17123.25	17119	17122.75	17119.75	17120	 	17117.88	17123.5	0	1	47.59	40.95	35.23	214327	213896.08	248533	248533.08	43.92	33.31	23.33	24.1	
2023/12/29	04:36:04	17122.75	17124.5	17120.5	17124	17119.75	17120	 	17117.94	17123.5	1	0	150.21	59.72	45.03	214711	213824.11	248917	248390.08	43.38	30.5	24.32	21.08	
2023/12/29	04:37:21	17123.75	17128	17122.75	17128	17120.5	17120.5	 	17118.06	17123.5	1	0	294.22	77.48	58.01	215283	213825.5	249489	248353.08	59.52	33.09	31.08	17.72	
2023/12/29	04:37:41	17128.25	17129	17126.75	17127.5	17121	17121	 	17118.31	17123.5	1	0	334.37	86.64	69.46	214860	213922	249912	248451.4	73.64	36.26	32.06	16.42	
2023/12/29	04:38:01	17127.75	17128	17123.25	17124	17121	17121	 	17119.69	17123.5	1	0	289.98	85.12	75.72	214438	214068.64	249490	248652.6	73.12	29.94	27.21	25.08	
2023/12/29	04:38:57	17123.75	17124	17118.5	17119.25	17121	17121	 	17120.13	17123.5	0	1	199.39	74.21	75.12	214027	214218.72	249079	248891.04	72.62	30.04	22.63	35.38	
2023/12/29	04:39:32	17119	17125.25	17118.75	17122.5	17121	17121	 	17120.13	17123.5	0	1	148.17	64.45	70.85	214424	214370.81	249079	249119.04	72.59	27.53	22	28.78	
2023/12/29	04:40:17	17122.25	17126.5	17121.75	17124.75	17122.5	17121	 	17120.13	17123.5	1	0	128.36	60.16	66.57	214809	214503.97	249464	249290.2	72.18	22.93	22.59	24.87	
2023/12/29	04:41:46	17124.75	17125	17121.5	17122.75	17123.75	17121	 	17120.63	17123.5	1	0	90.56	58.2	63.23	214396	214563.19	249051	249338.56	58.79	19.76	20.25	23.04	
2023/12/29	04:43:03	17123	17124.5	17120	17124.5	17123.75	17121	 	17120.63	17123.5	1	0	129.03	66.41	64.5	214783	214571.58	248664	249298.4	42.46	20.34	17.55	24.41	
2023/12/29	04:44:08	17124.5	17124.75	17119	17119	17123.75	17121	 	17120.63	17123.5	0	1	79.57	60.94	63.07	214401	214552.81	248282	249204.52	27.96	22.7	14.67	23.26	
2023/12/29	04:45:32	17119	17120.25	17116.75	17118.5	17122.88	17121	 	17120.81	17123.5	0	1	47.67	51.17	58.31	214014	214530.06	247895	249056.8	28.32	28.08	13.15	27.5	
2023/12/29	04:46:33	17118.75	17119.5	17115.5	17116.75	17121.75	17121	 	17120.81	17123.5	0	1	1.73	39.43	50.76	213605	214481.86	247486	248830.96	28.34	33.9	11.58	27.95	
2023/12/29	04:47:44	17117	17119	17114	17117.75	17120.25	17121	 	17120.81	17123.5	0	1	10.79	27.27	41.37	214021	214409.06	247070	248560.32	13.86	40.14	9.87	28.25	
2023/12/29	04:48:31	17118	17120	17117	17119.5	17120.25	17121	 	17120.81	17123.5	0	1	60.33	26.89	35.58	214427	214361.75	247476	248275.2	14.5	40.72	12.04	25.63	
2023/12/29	04:49:38	17119.75	17121.75	17116.5	17117.25	17120.25	17121	 	17120.81	17123.5	0	1	36.05	23.5	30.75	214020	214295.39	247883	248006	14.53	34.72	15.4	21.59	
2023/12/29	04:51:04	17117.25	17118.5	17115	17117	17119.5	17121	 	17121	17122.13	0	1	29.67	25.83	28.78	213637	214208.83	247500	247768.36	14.55	33.4	13.73	23.89	
2023/12/29	04:52:25	17117	17117	17113	17114.75	17118.88	17121	 	17121.38	17121.25	0	1	16.63	22.5	26.27	213260	214101.69	247123	247595.32	14.58	35.87	12.02	27.15	
2023/12/29	04:53:20	17114.5	17116.25	17111	17111	17117.88	17120	 	17121.38	17121.25	0	1	-55.37	13.22	21.05	212877	213997.08	246740	247488.32	14.6	40.4	10.11	28.89	
2023/12/29	04:54:25	17111	17114.5	17110.25	17113.5	17116	17119.63	 	17121.5	17121.25	0	1	-56.48	12.96	17.81	213283	213893.86	246334	247383.16	17.12	44.84	8.8	27.44	
2023/12/29	04:55:12	17113.25	17113.75	17111	17112	17116	17119.63	 	17121.88	17119.5	0	1	-71.91	10.71	14.97	212888	213747.03	246729	247247.8	17.27	48.39	8.03	25.02	
2023/12/29	04:56:42	17112	17116.25	17110.5	17115.75	17116	17119.63	 	17121.44	17118.25	0	1	-17.97	16.73	15.68	213313	213601.75	247154	247114.4	17.93	40.16	14.24	20.64	
2023/12/29	04:57:44	17115.75	17117.25	17114.5	17115.5	17116	17119.63	 	17120.88	17118.25	0	1	-3.96	25.51	19.61	212940	213458.33	247527	247011.68	34.16	33.8	16.19	18.82	
2023/12/29	04:59:04	17115.5	17116.5	17112.5	17113	17116	17119.63	 	17119.88	17118.25	0	1	-42.96	25.42	21.93	212564	213316.53	247151	246938.6	34.27	31.15	14.1	22.84	
2023/12/29	05:00:11	17113	17114.75	17111.75	17113	17114.38	17119.63	 	17119.88	17118.25	0	1	-73.73	29.41	24.92	212564	213186.25	246737	246927.32	33.73	30.79	12.69	23.05	
2023/12/29	05:01:14	17112.75	17113.5	17110.25	17110.75	17113.75	17119.63	 	17119.88	17118.25	0	1	-138.78	21.63	23.61	212113	213043.97	246286	246944.48	32.79	33.58	11.27	25.63	
2023/12/29	05:02:15	17110.75	17111	17106.25	17108	17111.75	17117.63	 	17119.88	17118.25	0	1	-188.74	14.62	20.01	211622	212909.28	245795	246921.12	27.29	40.45	9.49	34.9	
2023/12/29	05:02:33	17107.75	17108	17104.25	17106	17110.75	17116.63	 	17120.5	17118.75	0	1	-210.41	12.05	16.83	211226	212736.25	245399	246796.48	27.28	47.28	8.29	37.22	
2023/12/29	05:03:00	17106	17107.75	17102.75	17106.5	17110	17115.88	 	17121	17119.25	0	1	-169.42	12.2	14.98	211722	212548.75	244903	246565.48	12.45	53.58	6.95	36.05	
2023/12/29	05:03:19	17106.75	17110.5	17105.75	17109.5	17110	17115.38	 	17121	17119.25	0	1	-90.93	20.66	17.25	212202	212370.53	245383	246264.2	15.46	48.88	14.64	30.6	
2023/12/29	05:03:48	17109.5	17111	17107.5	17110.75	17110	17114.63	 	17121	17119.25	0	1	18.02	30.34	22.49	212624	212202.67	245805	245961.4	28.64	43.61	14.6	27.12	
2023/12/29	05:04:32	17110.25	17110.25	17103.25	17103.25	17109.63	17114.63	 	17121	17119.25	0	1	6.71	29.8	25.41	212199	212069.69	245380	245696.36	28.54	45.32	11.4	33.61	
2023/12/29	05:05:06	17103.25	17107.5	17101.75	17107.25	17108.25	17114.13	 	17121.75	17119.25	0	1	82.38	34.44	29.02	212740	212002.94	244839	245494.04	27.75	48.07	9.54	32.38	
2023/12/29	05:05:25	17107.5	17112.5	17106.75	17111.75	17107.63	17113.38	 	17122.38	17119.25	1	0	170.11	40	33.41	213148	212047.56	245247	245395.4	41.36	38.59	21.78	27.27	
2023/12/29	05:06:03	17111.5	17113	17108.75	17109	17107.38	17113.25	 	17122.38	17120.25	0	1	156.89	38.11	35.29	212791	212155.69	245604	245359.76	41.87	31.9	20.59	24.03	
2023/12/29	05:07:03	17108.75	17112.25	17107.75	17111.25	17107.38	17113.25	 	17122.38	17120.25	0	1	174.44	52.02	41.98	213154	212300.33	245241	245320.8	55.85	26.61	17.98	23.8	
2023/12/29	05:07:59	17111.5	17113	17108.25	17109.75	17107.38	17111.75	 	17121.94	17120.25	1	0	149.02	56.73	47.88	212739	212446.5	245656	245309.48	40.71	22.02	17.69	20.62	
2023/12/29	05:09:03	17109.75	17112.5	17107.5	17107.75	17107.38	17111.75	 	17121.38	17120.25	0	1	61.97	52.34	49.67	212308	212593.31	245225	245336	26.23	18.9	15.21	19.83	
2023/12/29	05:10:25	17107.75	17108.75	17106	17106.25	17107.38	17111.75	 	17120.63	17120.25	0	1	-44.79	50.91	50.16	211905	212685.86	244822	245331.76	26.42	20.08	13.98	22.66	
2023/12/29	05:11:29	17106.25	17107	17102.75	17105	17107.38	17111.75	 	17120.63	17120.25	0	1	-96.84	42.86	47.24	211418	212676.97	244335	245267.92	26.92	26.23	12.2	29.48	
2023/12/29	05:12:03	17105	17105.25	17101.5	17101.75	17107.25	17111.63	 	17120.63	17120.25	0	1	-185.37	29.47	40.13	210968	212587.75	243885	245172.4	12.49	32.56	10.81	29.92	
2023/12/29	05:12:45	17101.5	17102	17096.75	17097.5	17104.88	17107.63	 	17120.25	17120.25	0	1	-280.69	17.24	30.98	210494	212398.19	243411	244976.04	12.01	41.03	9.12	39.36	
2023/12/29	05:12:56	17097.25	17098	17090.5	17091.25	17101.75	17103.88	 	17119.94	17120.63	0	1	-397.38	8.13	21.84	209899	212126.56	242816	244667.88	-0	49.8	7.26	48.35	
2023/12/29	05:13:01	17091.5	17094	17091	17093.75	17101.75	17103.88	 	17118.94	17120	0	1	-388.05	6.87	15.85	210274	211795.39	242441	244281.48	-0	56.83	6.63	44.18	
2023/12/29	05:13:04	17093.75	17096.5	17093.5	17096	17101.75	17103.88	 	17117.81	17119.63	0	1	-313.98	12.24	14.41	210700	211453.94	242867	243887.12	13.27	55.06	13.57	40.19	
2023/12/29	05:13:15	17096	17098.5	17092.5	17094	17101.5	17103.88	 	17117.81	17119.63	0	1	-290.96	14.44	14.42	210273	211128.75	243294	243523.36	13.17	48.72	16.99	33.24	
2023/12/29	05:13:28	17093.75	17098.25	17092	17097.5	17099.63	17103.88	 	17117.81	17119.63	0	1	-206.28	21.39	17.21	210713	210847.11	243734	243262.32	27.17	44.4	14.07	28.9	
2023/12/29	05:13:55	17098	17099.25	17095.5	17098	17098.75	17103.88	 	17117.81	17119.63	0	1	-125.11	26.11	20.77	211121	210656.78	244142	243150.68	40.51	38.15	15.41	25.83	
2023/12/29	05:14:36	17098	17101	17095.25	17095.25	17097.88	17103.5	 	17117.81	17119.63	0	1	-141.56	25.28	22.57	210710	210567.86	243731	243185.88	41.34	32.28	17.79	21.74	
2023/12/29	05:15:06	17095	17096.75	17091.75	17096	17096.25	17102.63	 	17117	17119.63	0	1	-97.1	27.5	24.54	211102	210558.44	243339	243298.68	44.25	31.17	15.35	28.36	
2023/12/29	05:15:34	17095.5	17098.75	17090.25	17090.75	17095.63	17101.88	 	17116.69	17119.63	0	1	-152.01	20.33	22.86	210524	210577.61	242761	243413.8	41.34	25.49	17.08	22.35	
2023/12/29	05:16:06	17091	17093	17089.25	17091.25	17095.13	17101.13	 	17114.69	17117.63	0	1	-168.66	14.7	19.59	211011	210649.08	242274	243457.6	26.98	23	15.42	22.77	
2023/12/29	05:16:14	17091.5	17092.25	17089	17092.25	17095	17101	 	17113.69	17116.63	0	1	-88.2	13.68	17.23	211493	210749.31	242756	243392.92	31.23	21.56	14.05	21.43	
2023/12/29	05:16:28	17092.25	17097	17092.25	17096	17095	17101	 	17112.94	17115.88	0	1	6.07	16.78	17.05	211956	210855.31	243219	243256.16	31.8	24.09	25.24	18.64	
2023/12/29	05:16:53	17095.75	17098	17093.25	17097.25	17095	17101	 	17112.69	17115.88	0	1	103.38	30.71	22.51	212353	210984.42	243616	243111.6	31.53	27.45	24.69	16.21	
2023/12/29	05:17:39	17097.25	17100.5	17095.75	17100.25	17095	17101	 	17112.31	17115.88	1	0	205.83	50.21	33.59	212716	211135.36	243979	243037.08	45.64	32.99	28.35	14.08	
2023/12/29	05:18:31	17100.5	17103.5	17099.75	17102	17096.25	17101	 	17112.13	17115.88	1	0	263.97	70.85	48.5	213096	211362.64	244359	243104.36	60.09	39.82	33.86	12.58	
2023/12/29	05:18:46	17102	17106.5	17102	17106.5	17097.75	17101	 	17111.19	17115.38	1	0	357.45	87.72	64.19	213551	211639.97	244814	243309.4	80.87	46.92	38.07	10.96	
2023/12/29	05:19:16	17106.5	17108.5	17106.25	17106.5	17098.75	17101	 	17110.5	17115.38	1	0	337.15	93.31	75.83	213551	211952.81	245218	243614.88	100	53.45	41.58	10.21	
2023/12/29	05:19:31	17106.75	17107.5	17105	17105.75	17098.75	17101	 	17110.31	17115.38	1	0	277.81	91.2	81.98	213111	212274.53	244778	243955.76	84.83	54.41	38.2	13.44	
2023/12/29	05:20:12	17106	17108	17104.75	17105.5	17098.75	17101	 	17110.31	17115.38	1	0	189.92	89.8	85.11	212671	212559.44	244338	244262.28	81.96	55.65	35.72	11.98	
2023/12/29	05:21:01	17105.25	17106.75	17102.25	17104	17100.38	17101	 	17109.56	17115.38	1	0	115.39	84.29	84.78	212262	212786.92	243929	244468.2	65.36	48.32	30.43	18.43	
2023/12/29	05:21:29	17104	17105.5	17101.5	17101.75	17100.88	17100.75	 	17109.56	17115.38	1	0	6.18	78.21	82.15	211841	212908.08	243508	244539.56	49.38	40.35	26.42	18.47	
