Date	Time	Open	High	Low	Close	CL	BL	LS	FS1	FS2	Chaikin	%K	%D	HOBV	signal	MFI	ADX	plus	minus	DMI	
2023/12/16	00:51:53	16864.92	16867.5	16863.5	16865.19	16858	16856.38	 	16859.94	16851.63	279.37	88.54	87.81	174046	172381.96	84.42	61.29	27.15	2.9	74.25	
2023/12/16	00:52:23	16865.05	16865.05	16861	16862.81	16859.36	16856.38	 	16860.19	16851.63	252.8	84.97	86.68	173691	172755.92	71.64	57.43	23.5	10.52	62.98	
2023/12/16	00:52:53	16863.93	16864	16861.25	16862.44	16860.53	16856.38	 	16859.25	16853.13	216.49	80.87	84.35	173361	173075.4	58.79	54.22	21.25	9.52	61.74	
2023/12/16	00:53:38	16863.19	16870	16861.5	16865.81	16862.59	16857	 	16858.5	16854.49	185.27	79.64	82.47	173763	173339.56	58.99	56.16	34.18	7.02	77.15	
2023/12/16	00:53:56	16864.5	16873.5	16864.5	16871.5	16865.61	16858.75	 	16857.75	16855.53	213.76	81.52	82.09	174369	173552.64	62.14	59.14	35.35	5.27	80.08	
2023/12/16	00:54:04	16868	16874.5	16868	16873.38	16867.15	16859.25	 	16856.44	16857.08	268.93	86.67	83.92	174839	173715.16	62.85	61.96	31.8	4.33	77.47	
2023/12/16	00:54:07	16870.69	16876.5	16870.69	16873.81	16868.75	16860.25	 	16856.44	16857.25	290.5	90.48	86.54	175306	173889.76	77.64	64.92	32.22	3.64	78.58	
2023/12/16	00:54:14	16872.25	16874.25	16869.25	16871.88	16868.75	16860.25	 	16856.44	16857.25	290.17	89.98	87.92	174847	174099.56	62.97	63.87	27.64	7.2	70.44	
2023/12/16	00:54:32	16872.06	16872.5	16868	16871	16868.75	16860.25	 	16855.61	16857.25	296.42	85.96	87.14	174441	174312.68	61.94	60.12	23.97	9.94	64.03	
2023/12/16	00:54:49	16871.53	16872.25	16865.75	16869.19	16868.75	16860.25	 	16855.15	16857.25	287.15	77.84	83.42	174054	174482.96	60.84	52.51	19.48	14.56	54.92	
2023/12/16	00:55:16	16870.36	16870.36	16866	16867.06	16868.88	16860.25	 	16854.31	16856.5	225.29	66.82	76.78	173577	174571.04	47.16	46.17	16.93	12.65	54.27	
2023/12/16	00:55:45	16868.71	16870.25	16865	16866.69	16869	16860.25	 	16853.68	16856.5	150.14	55.66	68.33	173102	174506.36	29.84	38.81	14.23	13.67	50.56	
2023/12/16	00:56:21	16867.7	16870	16865	16867.06	16870.5	16860.25	 	16853.16	16856.5	88.32	45.86	59.34	172700	174296.36	28.28	32.68	12.04	11.57	50.48	
2023/12/16	00:56:55	16867.38	16869.25	16866	16867.38	16870.75	16860.25	 	16852.38	16855.88	37.89	40.17	51.67	173136	174007.04	27.55	27.57	10.75	10.33	50.42	
2023/12/16	00:57:28	16867.38	16869.25	16865	16867.31	16870.75	16860.75	 	16852.38	16855.88	15.02	39.42	46.77	172643	173673.88	27.24	25.32	9.2	12.23	46.98	
2023/12/16	00:57:55	16867.35	16869	16860	16864.94	16867.13	16860.75	 	16852.38	16855.88	12.95	37.6	43.1	171935	173325.52	24.81	30.42	6.74	23.83	32.9	
